player,team,opposition,date,venue,match_id,player_id,fantasy_points,batting_fantasy_points,bowling_fantasy_points,fielding_fantasy_points,Total_matches_played_sum,last_7_matches_fantasy_points_sum,last_7_matches_fantasy_points_var,date_diff,batting_order,k_value,cumulative_Innings Batted_sum,last_7_matches_Innings Batted_sum,cumulative_Runs_sum,last_7_matches_Runs_sum,cumulative_Fours_sum,last_7_matches_Fours_sum,cumulative_Sixes_sum,last_7_matches_Sixes_sum,cumulative_Outs_sum,last_7_matches_Outs_sum,cumulative_Dot Balls_sum,last_7_matches_Dot Balls_sum,cumulative_Balls Faced_sum,last_7_matches_Balls Faced_sum,cumulative_Innings Bowled_sum,last_7_matches_Innings Bowled_sum,cumulative_Balls Bowled_sum,last_7_matches_Balls Bowled_sum,cumulative_Wickets_sum,last_7_matches_Wickets_sum,cumulative_LBWs_sum,last_7_matches_LBWs_sum,cumulative_Bowleds_sum,last_7_matches_Bowleds_sum,cumulative_Extras_sum,last_7_matches_Extras_sum,cumulative_Maiden Overs_sum,last_7_matches_Maiden Overs_sum,cumulative_Runsgiven_sum,last_7_matches_Runsgiven_sum,cumulative_Dot Balls Bowled_sum,last_7_matches_Dot Balls Bowled_sum,cumulative_Foursgiven_sum,last_7_matches_Foursgiven_sum,cumulative_Sixesgiven_sum,last_7_matches_Sixesgiven_sum,cumulative_Stumpings_sum,last_7_matches_Stumpings_sum,cumulative_Catches_sum,last_7_matches_Catches_sum,cumulative_direct run_outs_sum,last_7_matches_direct run_outs_sum,cumulative_indirect run_outs_sum,last_7_matches_indirect run_outs_sum,last_7_matches_lbw_bowled_sum,last_7_matches_centuries_sum,last_7_matches_half_centuries_sum,last_7_matches_duck_outs_sum,last_7_matches_4wickets_sum,last_7_matches_5wickets_sum,last_7_matches_6wickets_sum,last_year_avg_Runs,last_year_avg_Wickets,cumulative_derived_Dot Ball%,cumulative_derived_Batting Strike Rate,cumulative_derived_Batting Avg,cumulative_derived_Mean Score,cumulative_derived_Boundary%,cumulative_derived_Mean Balls Faced,cumulative_derived_Dismissal Rate,cumulative_derived_Economy Rate,cumulative_derived_Bowling Dot Ball%,cumulative_derived_Boundary Given%,cumulative_derived_Bowling Avg,cumulative_derived_Bowling Strike Rate,last_7_matches_derived_Dot Ball%,last_7_matches_derived_Batting Strike Rate,last_7_matches_derived_Batting Avg,last_7_matches_derived_Mean Score,last_7_matches_derived_Boundary%,last_7_matches_derived_Mean Balls Faced,last_7_matches_derived_Dismissal Rate,last_7_matches_derived_Economy Rate,last_7_matches_derived_Bowling Dot Ball%,last_7_matches_derived_Boundary Given%,last_7_matches_derived_Bowling Avg,last_7_matches_derived_Bowling Strike Rate,Venue_total_matches_sum,cumulative_Venue_Runs_sum,last_7_matches_Venue_Runs_sum,cumulative_Venue_Wickets_sum,last_7_matches_Venue_Wickets_sum,cumulative_Venue_Innings Batted_sum,last_7_matches_Venue_Innings Batted_sum,cumulative_Venue_Innings Bowled_sum,last_7_matches_Venue_Innings Bowled_sum,Opposition_total_matches_sum,cumulative_Opposition_Runs_sum,last_7_matches_Opposition_Runs_sum,cumulative_Opposition_Wickets_sum,last_7_matches_Opposition_Wickets_sum,cumulative_Opposition_Innings Batted_sum,last_7_matches_Opposition_Innings Batted_sum,cumulative_Opposition_Innings Bowled_sum,last_7_matches_Opposition_Innings Bowled_sum,Inning_total_matches_sum,cumulative_Inning_Runs_sum,last_7_matches_Inning_Runs_sum,cumulative_Inning_Wickets_sum,last_7_matches_Inning_Wickets_sum,cumulative_Inning_Innings Batted_sum,last_7_matches_Inning_Innings Batted_sum,cumulative_Inning_Innings Bowled_sum,last_7_matches_Inning_Innings Bowled_sum,venue_avg_runs_sum,venue_avg_wickets_sum
Mustafizur Rahman,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,0a8fce53,,,,,100.0,38.142857142857146,428.69387755102304,1.0,,7,0.45,0.42857142857142855,1.53,0.8571428571428571,0.17,0.0,0.01,0.0,0.23,0.14285714285714285,2.02,1.1428571428571428,2.96,2.0,1.0,1.0,49.01,50.0,1.59,0.8571428571428571,0.11,0.0,0.29,0.2857142857142857,1.65,2.857142857142857,0.27,0.2857142857142857,42.26,49.857142857142854,26.74,26.428571428571427,4.23,6.0,0.6,0.5714285714285714,0.0,0.0,0.08,0.0,0.01,0.0,0.01,0.0,0.2857142857142857,0.0,0.0,0.1,0.0,0.0,0.0,1.0,1.3333333333333333,0.6824324324324325,0.5168918918918919,6.6521739130434785,3.4,6.0810810810810825,6.5777777777777775,12.869565217391303,0.8622730055090798,0.5456029381758825,9.855131605794737,26.578616352201255,30.823899371069178,0.5714285714285714,0.42857142857142855,6.0,2.0,0.0,4.666666666666667,14.0,0.9971428571428571,0.5285714285714286,13.142857142857142,58.166666666666664,58.333333333333336,57.0,2.1403508771929824,3.0,1.543859649122807,1.0,0.43859649122807015,1.0,1.0,1.0,89.0,1.2584269662921348,3.4285714285714284,1.6067415730337078,1.5714285714285714,0.4157303370786517,0.7142857142857143,1.0,1.0,99.0,1.5151515151515151,5.142857142857143,1.595959595959596,1.0,0.4444444444444444,0.5714285714285714,1.0,1.0,216.61538461538464,6.169871794871795
Tanzim Hasan Sakib,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,0b0cc297,,,,,9.0,62.0,1130.8571428571427,5.0,,7,0.6666666666666666,0.5714285714285714,10.555555555555555,10.857142857142858,0.7777777777777778,0.7142857142857143,0.4444444444444444,0.42857142857142855,0.4444444444444444,0.5714285714285714,7.777777777777778,9.571428571428571,13.777777777777779,15.714285714285714,1.0,1.0,49.333333333333336,48.142857142857146,1.4444444444444444,1.1428571428571428,0.2222222222222222,0.2857142857142857,0.2222222222222222,0.0,2.0,1.5714285714285714,0.4444444444444444,0.42857142857142855,49.333333333333336,47.42857142857143,25.88888888888889,24.857142857142858,5.111111111111111,4.857142857142857,1.3333333333333333,1.1428571428571428,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,12.6,1.0,0.564516129032258,0.7661290322580645,23.75,15.833333333333334,8.870967741935484,20.666666666666668,31.000000000000004,1.0,0.5247747747747747,13.06306306306306,34.15384615384615,34.15384615384615,0.6090909090909091,0.690909090909091,19.000000000000004,19.000000000000004,7.2727272727272725,27.5,27.5,0.9851632047477744,0.516320474777448,12.462908011869436,41.50000000000001,42.12500000000001,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,5.333333333333333,7.0,1.5,1.0,0.6666666666666666,1.0,1.0,1.0,8.0,11.875,1.6666666666666667,1.625,3.0,0.625,0.3333333333333333,1.0,1.0,216.61538461538464,6.169871794871795
Nazmul Hossain Shanto,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,1274d7ab,,,,,41.0,79.28571428571429,5107.632653061225,1.0,,7,0.975609756097561,1.0,28.829268292682926,42.42857142857143,3.3658536585365852,5.285714285714286,0.17073170731707318,0.2857142857142857,0.926829268292683,0.7142857142857143,19.853658536585368,24.857142857142858,36.21951219512195,48.0,0.14634146341463414,0.2857142857142857,1.853658536585366,5.142857142857143,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.2857142857142857,0.0,0.0,1.7073170731707317,6.0,0.7317073170731707,1.7142857142857142,0.12195121951219512,0.42857142857142855,0.024390243902439025,0.14285714285714285,0.0,0.0,0.2926829268292683,0.42857142857142855,0.0,0.0,0.024390243902439025,0.0,0.0,0.14285714285714285,0.42857142857142855,0.1,0.0,0.0,0.0,48.0,0.0,0.5481481481481482,0.795959595959596,31.105263157894733,29.55,9.764309764309765,37.125,39.07894736842105,0.9210526315789473,0.3947368421052631,7.894736842105263,70.0,76.0,0.5178571428571429,0.8839285714285715,59.4,42.42857142857143,11.607142857142856,48.0,67.2,1.1666666666666665,0.3333333333333333,11.111111111111109,6.0,5.142857142857143,21.0,34.23809523809524,77.0,0.0,0.0,1.0,1.0,0.09523809523809523,1.0,30.0,33.46666666666667,7.2,0.0,0.0,0.9666666666666667,1.0,0.1,0.0,40.0,27.625,41.142857142857146,0.025,0.0,0.975,1.0,0.125,0.0,216.61538461538464,6.169871794871795
AR Patel,India,Bangladesh,2025-02-25,Rawalpindi Cricket Stadium,1234567890,2e171977,,,,,63.0,91.85714285714286,819.8367346938791,2.0,,7,0.6825396825396826,1.0,10.857142857142858,23.285714285714285,0.6349206349206349,2.4285714285714284,0.4444444444444444,0.42857142857142855,0.49206349206349204,0.7142857142857143,5.095238095238095,11.142857142857142,11.46031746031746,24.142857142857142,0.9523809523809523,1.0,47.79365079365079,49.142857142857146,1.1111111111111112,1.1428571428571428,0.12698412698412698,0.0,0.38095238095238093,0.42857142857142855,0.5873015873015873,0.8571428571428571,0.3333333333333333,0.42857142857142855,36.0,37.57142857142857,26.444444444444443,26.0,2.8412698412698414,2.2857142857142856,0.746031746031746,1.0,0.0,0.0,0.3968253968253968,0.42857142857142855,0.015873015873015872,0.14285714285714285,0.015873015873015872,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,24.5,1.25,0.4445983379501385,0.9473684210526316,22.06451612903226,15.906976744186046,9.418282548476453,16.790697674418606,23.290322580645164,0.7532381268681502,0.5533045499833942,7.505812022583861,32.4,43.01428571428571,0.4615384615384615,0.9644970414201183,32.599999999999994,23.285714285714285,11.834319526627217,24.142857142857142,33.8,0.7645348837209301,0.5290697674418604,6.686046511627906,32.875,43.00000000000001,21.0,13.238095238095237,0.0,1.2380952380952381,0.0,0.6666666666666666,0.0,0.9523809523809523,0.0,55.0,12.018181818181818,20.571428571428573,1.1090909090909091,1.0,0.6545454545454545,1.0,0.9454545454545454,0.8571428571428571,62.0,10.983870967741936,11.285714285714286,1.1129032258064515,0.42857142857142855,0.6774193548387096,1.0,0.9516129032258065,0.8571428571428571,216.61538461538464,6.169871794871795
Soumya Sarkar,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,4d9f9686,,,,,70.0,60.857142857142854,3281.836734693878,5.0,,7,0.9571428571428572,0.8571428571428571,30.014285714285716,23.571428571428573,3.4857142857142858,2.857142857142857,0.7142857142857143,0.7142857142857143,0.9571428571428572,0.8571428571428571,16.228571428571428,14.571428571428571,30.82857142857143,25.142857142857142,0.35714285714285715,0.7142857142857143,7.714285714285714,9.714285714285714,0.22857142857142856,0.2857142857142857,0.014285714285714285,0.0,0.02857142857142857,0.0,0.18571428571428572,0.14285714285714285,0.014285714285714285,0.0,7.742857142857143,10.285714285714286,3.2285714285714286,4.142857142857143,0.6285714285714286,0.5714285714285714,0.12857142857142856,0.42857142857142855,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.0,23.571428571428573,0.2857142857142857,0.5264133456904541,0.9735866543095459,31.35820895522388,31.35820895522388,13.623725671918443,32.208955223880594,32.208955223880594,1.0037037037037038,0.4185185185185185,9.814814814814813,33.875,33.75,0.5795454545454546,0.9375000000000001,27.500000000000004,27.500000000000004,14.204545454545455,29.333333333333336,29.333333333333336,1.058823529411765,0.4264705882352942,10.294117647058824,36.00000000000001,34.0,35.0,30.857142857142858,0.0,0.05714285714285714,0.0,0.9714285714285714,0.0,0.2857142857142857,0.0,59.0,29.47457627118644,27.714285714285715,0.15254237288135594,0.14285714285714285,0.9661016949152542,1.0,0.3389830508474576,0.14285714285714285,69.0,30.44927536231884,1.1428571428571428,0.2318840579710145,0.7142857142857143,0.9565217391304348,0.7142857142857143,0.36231884057971014,0.7142857142857143,216.61538461538464,6.169871794871795
Rishad Hossain,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,5935d694,,,,,8.0,65.85714285714286,1699.8367346938771,1.0,,7,0.75,0.7142857142857143,12.25,13.142857142857142,1.0,1.1428571428571428,1.0,1.0,0.5,0.42857142857142855,4.5,4.714285714285714,8.5,9.142857142857142,1.0,1.0,49.75,48.857142857142854,1.0,1.1428571428571428,0.0,0.0,0.0,0.0,1.625,1.8571428571428572,0.0,0.0,48.0,46.0,22.75,23.285714285714285,3.0,2.857142857142857,1.75,1.7142857142857142,0.0,0.0,0.375,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,15.333333333333334,1.3333333333333333,0.5294117647058824,1.4411764705882353,24.5,16.333333333333332,23.52941176470588,11.333333333333334,17.0,0.964824120603015,0.457286432160804,9.547738693467336,48.0,49.75,0.515625,1.4375,30.666666666666668,18.4,23.4375,12.799999999999999,21.333333333333332,0.9415204678362573,0.4766081871345029,9.35672514619883,40.25,42.75,3.0,8.666666666666666,26.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.8,18.0,0.8,2.0,0.8,1.0,1.0,1.0,7.0,10.285714285714286,24.0,1.0,0.5,0.7142857142857143,0.5,1.0,1.0,216.61538461538464,6.169871794871795
RG Sharma,India,Bangladesh,2025-02-25,Rawalpindi Cricket Stadium,1234567890,740742ef,,,,,263.0,83.42857142857143,5348.816326530591,2.0,,7,0.9809885931558935,1.0,41.20532319391635,40.285714285714285,3.840304182509506,4.714285714285714,1.2661596958174905,1.8571428571428572,0.8897338403041825,1.0,23.121673003802282,14.714285714285714,44.61216730038023,30.571428571428573,0.1520912547528517,0.14285714285714285,2.3193916349809887,1.7142857142857142,0.034220532319391636,0.0,0.0038022813688212928,0.0,0.0,0.0,0.015209125475285171,0.0,0.0076045627376425855,0.0,2.026615969581749,1.5714285714285714,0.8897338403041825,0.2857142857142857,0.09125475285171103,0.0,0.030418250950570342,0.0,0.0,0.0,0.3574144486692015,0.14285714285714285,0.011406844106463879,0.0,0.045627376425855515,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,42.5,0.0,0.5182817693684479,0.923634194153243,46.31196581196581,42.00387596899225,11.446347907611013,45.47674418604652,50.14102564102564,0.8737704918032787,0.38360655737704913,5.245901639344262,59.22222222222222,67.77777777777777,0.4813084112149532,1.3177570093457942,40.285714285714285,40.285714285714285,21.495327102803735,30.571428571428573,30.571428571428573,0.9166666666666667,0.16666666666666666,0.0,1.5714285714285714,1.7142857142857142,169.0,37.40828402366864,0.0,0.047337278106508875,0.0,0.9704142011834319,0.0,0.1893491124260355,0.0,249.0,41.52208835341366,45.57142857142857,0.0321285140562249,0.0,0.9799196787148594,1.0,0.15261044176706828,0.0,262.0,41.286259541984734,41.0,0.03435114503816794,0.14285714285714285,0.9809160305343512,1.0,0.15267175572519084,0.14285714285714285,216.61538461538464,6.169871794871795
Harshit Rana,India,Bangladesh,2025-02-25,Rawalpindi Cricket Stadium,1234567890,77b1aa15,,,,,5.0,73.0,686.8000000000001,2.0,,7,0.2,0.2,2.6,2.6,0.2,0.2,0.2,0.2,0.2,0.2,1.0,1.0,2.0,2.0,1.0,1.0,43.6,43.6,2.0,2.0,0.0,0.0,0.4,0.4,1.4,1.4,0.4,0.4,41.4,41.4,25.0,25.0,4.8,4.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6,2.0,0.5,1.3,13.0,13.0,20.0,10.0,10.0,0.9495412844036697,0.573394495412844,13.30275229357798,20.7,21.8,0.5,1.3,13.0,13.0,20.0,10.0,10.0,0.9495412844036697,0.573394495412844,13.30275229357798,20.7,21.8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.3333333333333335,3.0,0.0,0.0,1.0,1.0,4.0,3.25,13.0,2.25,2.0,0.25,1.0,1.0,1.0,216.61538461538464,6.169871794871795
Tanzid Hasan,Bangladesh,India,2025-02-25,Rawalpindi Cricket Stadium,1234567890,80fe764d,,,,,18.0,78.28571428571429,2364.204081632653,1.0,,7,1.0,1.0,22.944444444444443,39.285714285714285,2.888888888888889,4.285714285714286,0.7777777777777778,1.5714285714285714,1.0,1.0,12.555555555555555,20.285714285714285,22.11111111111111,37.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.2857142857142857,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.2857142857142857,0.2,0.0,0.0,0.0,39.833333333333336,0.0,0.5678391959798995,1.0376884422110553,22.944444444444443,22.944444444444443,16.582914572864322,22.11111111111111,22.11111111111111,-1.0,-1.0,-1.0,-1.0,-1.0,0.5419847328244274,1.0496183206106868,39.285714285714285,39.285714285714285,15.64885496183206,37.42857142857143,37.42857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,35.333333333333336,24.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,24.1,29.666666666666668,0.0,0.0,1.0,1.0,0.0,0.0,17.0,22.88235294117647,22.833333333333332,0.0,0.0,1.0,1.0,0.0,0.0,216.61538461538464,6.169871794871795
